begin,end,word,audiopath
0.5,0.9,'een',/datb/aphasia/languagedata/voxforge/original/boergait-20080828-qpg/wav/nl-0027.wav
0.9,1.3,'vergunning',/datb/aphasia/languagedata/voxforge/original/boergait-20080828-qpg/wav/nl-0027.wav
1.3,1.4,'in',/datb/aphasia/languagedata/voxforge/original/boergait-20080828-qpg/wav/nl-0027.wav
1.4,1.5,'de',/datb/aphasia/languagedata/voxforge/original/boergait-20080828-qpg/wav/nl-0027.wav
1.5,1.7000000000000002,'zin',/datb/aphasia/languagedata/voxforge/original/boergait-20080828-qpg/wav/nl-0027.wav
1.7000000000000002,1.85,'van',/datb/aphasia/languagedata/voxforge/original/boergait-20080828-qpg/wav/nl-0027.wav
1.85,2.15,'deze',/datb/aphasia/languagedata/voxforge/original/boergait-20080828-qpg/wav/nl-0027.wav
2.15,2.3,'wet',/datb/aphasia/languagedata/voxforge/original/boergait-20080828-qpg/wav/nl-0027.wav
2.45,2.7,'is',/datb/aphasia/languagedata/voxforge/original/boergait-20080828-qpg/wav/nl-0027.wav
2.7,2.9,'geen',/datb/aphasia/languagedata/voxforge/original/boergait-20080828-qpg/wav/nl-0027.wav
2.9,3.45,'vereiste',/datb/aphasia/languagedata/voxforge/original/boergait-20080828-qpg/wav/nl-0027.wav
